id,,,,,,,
535,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003013.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""535""]])###/google.kml?uuid=6157e632-c66f-4543-90a4-543165c4c1d3&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
507,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003007.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""507""]])###/google.kml?uuid=79d2d758-0075-4c23-b8a4-4382234ba5b0&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
510,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003008.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""510""]])###/google.kml?uuid=abbeb057-8cdb-462a-9c6e-5c992b4fe915&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
547,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003005.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""547""]])###/google.kml?uuid=a5f8b200-7787-4064-9527-23629d8c01bc&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
545,,,,,,,
543,,,,,,,
463,,,,,,,
366,,,,,,,
520,,,,,,,"###http://libsvr35.lib.virginia.edu/metadata/000003019.xml######http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wcs#########javascript:addWMSLayer([[""UVA Geoserver WMS"",""http://libsvr35.lib.virginia.edu/ows/HistoricMaps/McGregor/wms"", ""UVA Geoserver WMS"",""520""]])###/google.kml?uuid=eae84546-bb6e-4434-bad8-fe1a6a2e4648&layers=UVA Geoserver WMS######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
500,,,,,,,"######javascript:addWMSLayer([[""UVA Geoserver WMS : VA GNIS Datastack"",""http://libsvr35.lib.virginia.edu/ows/Geography/Virginia/Statewide/VAgnis/wms"", ""UVA Geoserver WMS : VA GNIS Datastack"",""500""]])###/google.kml?uuid=cf6baa41-d43c-4be6-af5c-1e2ef9e1f25b&layers=UVA Geoserver WMS : VA GNIS Datastack######http://libsvr35.lib.virginia.edu/ows/Geography/Virginia/Statewide/VAgnis/wfs######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")######javascript:addWMSServerLayers(""http://libsvr35.lib.virginia.edu/ows/wms"")"
